objectid,id,island,volcano,line_code,description,relation,name,source,st_lengthshape
1122,1122,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",213.989620386645
1123,1123,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",524.78360623949
1124,1124,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",175.808171775628
1125,1125,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1045.55418430045
1126,1126,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",285.696995265028
1127,1127,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",644.002348955868
1128,1128,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",474.560846309435
1129,1129,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",369.476738344621
1130,1130,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",604.594335715431
1131,1131,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",268.872485908535
1132,1132,Hawaii,kila,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",514.113384476751
1133,1133,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",606.009096564112
1134,1134,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",239.490562729253
1135,1135,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",134.641802339965
1136,1136,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",285.411294946333
1137,1137,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1471.4075274852
1138,1138,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",851.224818169015
1139,1139,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",839.615282412312
1140,1140,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",28.4526015622073
1141,1141,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1122.24587978473
1142,1142,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",888.713382115813
1143,1143,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",327.832852153631
1144,1144,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",71.9645325915346
1145,1145,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",112.599996571835
1146,1146,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",679.104414637227
1147,1147,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",464.453423186035
1148,1148,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",195.839157816811
1149,1149,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",119.551107552092
