Hurricane Shelter,Special Needs,Pet Friendly,Island,Zip Code,(none),Location
Palolo Elementary ,S ,,OAHU,96816,,"2106 10th Avenue
Honolulu, HI
(21.299437554337032, -157.7917941774128)"
Hickam Elementary,,,OAHU,96818,,"825 Manzelman Circle
Honolulu, HI
(21.342620864629332, -157.96262118227784)"
Kapolei Elementary ,S ,,OAHU,96707,,"91-1119 Kamaaha Loop
Kapolei, HI
(21.335122652459688, -158.06488230483006)"
Nanakuli Elementary,,,OAHU,96792,,"89-778 Haleakala Avenue
Waianae, HI
(21.38733979187401, -158.13664272943433)"
Waimea High   ,S,P ,KAUAI,96796,,"9707 Tsuchiya Road
Waimea, HI
(21.957309605210583, -159.66875119832426)"
Kipapa Elementary ,S ,,OAHU,96789,,"95-076 Kipapa Drive
Mililani, HI
(21.46174720237301, -158.01349374811437)"
Kamiloiki Elementary ,S ,,OAHU,96825,,"7788 Hawaii Kai Drive
Honolulu, HI
(21.294221486567096, -157.68608786608888)"
Hilo High   ,S,P ,HAWAII,96720,,"556 Waianuenue Avenue
Hilo, HI
(19.721183830328435, -155.09570542126093)"
Kilauea Elementary School,,,KAUAI,96754,,"2440 Kolo Rd.
Kilauea, HI
(22.205108797163916, -159.40948565049737)"
Kalanianaole Elementary   ,S,P ,HAWAII,96781,,"27-330 Old Mamalahoa Highway
Papaikou, HI
(19.791480019915618, -155.0944949427245)"
Mililani Ike Elementary,,,OAHU,96789,,"95-1330 Lehiwa Drive
Mililani, HI
(21.479517797484107, -157.98474371879914)"
Kohala High and Elementary   ,S,,HAWAII,96755,,"54-3611 Akoni Pule Highway
Kapaau, HI
(20.23207735756033, -155.8059979984244)"
Hookena Elementary,,,HAWAII,96704,,"86-4355 Mamalahoa Highway
Captain Cook, HI
(19.3869393268277, -155.87802790584212)"
Keolu Elementary,,,OAHU,96734,,"1416 Keolu Drive
Kailua, HI
(21.370897682785255, -157.73537071329454)"
Waiakea Elementary   ,S,,HAWAII,96720,,"180 W. Puainako Street
Hilo, HI
(19.694458240523918, -155.0745869292947)"
Campbell High ,S,P ,OAHU,,,"91-980 North Rd
Ewa Beach, HI
(21.31606601865883, -158.00669616953434)"
Kapaa Elementary School     ,S,,KAUAI,96746,,"4886 Kawaihau Road
Kapaa, HI
(22.08901118854565, -159.31388707505545)"
