_id,COUNTY,UNIQUE_ID,LOCATION,DECIBEL,Location 1
137,KAUAI,KA104,Hanalei Base Yard,121,"(22.202, -159.501)"
138,MAUI,MA111,"St. Theresa, Kihei",115,"(20.747, -156.456)"
139,HONOLULU,OA205,Kawailoa/Papailoa,115,"(21.613, -158.089)"
140,KAUAI,KA511,Lawai,115,"(21.913, -159.501)"
141,HONOLULU,OA210,Dillingham Afld Entrance,118,"(21.579, -158.18)"
142,HAWAII,HA104,Banyan Drive,121,"(19.722, -155.064)"
143,HONOLULU,OA306,Pearl City Dist Pk,115,"(21.402, -157.963)"
144,HONOLULU,OA112,Diamond Head Light House,115,"(21.256, -157.812)"
145,HONOLULU,OA407,Kailua Police Station,115,"(21.395, -157.74)"
146,HONOLULU,OA330A,Kalaeloa,121,"(21.305, -158.056)"
147,MAUI,MA404,Honokowai Beach Pk,115,"(20.955, -156.685)"
148,HAWAII,HA602,Kealakehe School,115,"(19.67, -155.982)"
149,HAWAII,HA604,Upchurch,126,"(19.624, -155.98)"
150,MAUI,MA131,Haiku,121,"(20.928, -156.319)"
151,HONOLULU,OA304,Waimalu El Sch,126,"(21.39, -157.949)"
152,HAWAII,HA704,Palipoko Rd,124,"(19.472, -155.899)"
153,MAUI,MA305,Waianapanapa,119,"(20.786, -156.002)"
154,HONOLULU,OA312B,Area 19,121,"(21.332, -158.017)"
155,HAWAII,HA912,Paradise Park #2,124,"(19.586, -154.943)"
156,MAUI,MA505,"Kilohana Sch, Mol",115,"(21.058, -156.835)"
157,HONOLULU,OA326,Makaha North,121,"(21.479, -158.224)"
158,HAWAII,HA301,Paauilo,118,"(20.04, -155.371)"
159,MAUI,MA132,Sugar Beach,121,"(20.784, -156.464)"
160,MAUI,MA501,"Kalamaula, Mol",115,"(21.097, -157.038)"
161,HONOLULU,OA103,Kamiloiki El Sch,115,"(21.293, -157.684)"
162,HAWAII,HA402,"Waiaka, HPA",115,"(20.026, -155.698)"
163,HAWAII,HA703,Napoopoo Park,115,"(19.47, -155.92)"
164,HONOLULU,OA317,Nanakuli/Maili,115,"(21.394, -158.159)"
165,HONOLULU,OA321,Waianae DOT,115,"(21.45, -158.192)"
166,HAWAII,HA907,Hawaiian Beaches #1,115,"(19.548, -154.902)"
167,MAUI,MA101,Waiehu Hts,115,"(20.908, -156.49)"
168,HONOLULU,OA313A,Honokai Hale,121,"(21.341, -158.105)"
169,HONOLULU,OA111,Kapaolono Field,126,"(21.276, -157.803)"
170,HONOLULU,OA229,Mililani Mauka HECO Sub,121,"(21.479, -157.996)"
171,HAWAII,HA407,Kawaihae Harbor,124,"(20.039, -155.83)"
172,KAUAI,KA102,One One Beach,115,"(22.221, -159.546)"
173,HAWAII,HA114,Gilbert Carvalho Park,124,"(19.718, -155.102)"
174,HAWAII,HA807,Waiohinu,115,"(19.066, -155.612)"
175,HONOLULU,OA408,Kainalu El Sch,115,"(21.412, -157.749)"
176,MAUI,MA127,Waikapu,121,"(20.854, -156.502)"
177,HAWAII,HA802,Honuapo,115,"(19.085, -155.55)"
